col0,col2,col500
20.4546467389865,39.8118922391184,1
16.1752254461845,27.4710172278915,0
10.577211680538,24.6213877127776,0
26.2992059591802,51.7259337210708,1
23.193955168834,37.7802895554531,1
24.8875112350124,47.5592941237174,0
4.42667606247377,9.36101575097885,1
19.0445447723522,35.3602809063677,1
9.8558353474514,18.3280121808873,0
9.26041927234612,22.2405939993751,0
19.3995531013597,42.2590935205955,0
10.4164849444996,18.968890933913,0
9.01985446129786,23.5434868447087,0
11.1091020773261,17.4887905435709,0
14.6811664852136,27.5464098218097,0
16.8805894861983,27.5932978304173,1
11.0751673485892,20.2471586772704,0
22.6721373598321,43.1356340450233,1
20.5677813985321,35.0594999519591,0
10.4867876351535,24.3523874564346,1
19.3025097202494,32.8204850554526,0
18.7646149602084,34.5025677821803,1
13.7316005615939,23.7348063068382,1
8.55389870380689,20.6086007133913,1
14.498487939874,25.3079397757104,1
29.2480300839531,52.8804040761019,1
7.61175552491686,16.7278720440305,0
10.5112166764844,17.3262534088828,0
12.6907117703648,22.6837492609764,0
11.8979870559965,22.4077722527016,0
21.2734974324732,36.8856905009446,1
10.5304472203227,23.7753234355463,1
18.6940980737283,29.1069365946569,0
13.8984161996949,27.3577448736348,0
8.78128591418627,13.4493604364331,0
18.3432060991952,29.8846210154317,1
18.4734235717194,36.09677361221,1
19.861966700632,39.8617355853314,1
11.4052211778954,23.2985140745176,0
9.51092203116944,15.6188074245692,0
14.9483719346761,24.7935003542414,0
14.931250618537,38.6500359562457,1
12.799168936423,17.2267431078406,1
13.1555046001204,27.8954272174648,1
12.9770949806076,26.3013954709987,1
18.3823367365176,30.9182521868388,1
10.6549803032628,21.1234392929844,0
12.8093507547523,34.900396297489,1
14.5026452409991,24.2361445288813,0
12.1345871791227,29.7471149770657,1
16.4397323550775,23.9548251839992,1
15.8588939079074,27.832493600383,1
8.31096452247208,14.4972047469766,0
9.61165945778103,18.3504521839002,0
18.7505669581814,40.3329484905585,1
25.3189325133627,43.432149905997,1
9.74777306739861,21.8864716452671,0
9.62550544855594,17.0804217675475,0
17.1564758276509,30.0312420668551,1
16.7003546954118,26.585146417662,0
13.7149542268089,27.6078293502625,1
23.8176027371596,32.7842731700104,0
19.2317380615982,33.786314366016,1
7.05097499633647,13.5336943626001,0
11.7769606563762,19.2712210736197,1
8.50766903800613,23.4154055314122,0
12.7241150006604,22.8390640282452,0
17.5482610814577,29.351478852611,0
9.86547909948223,24.037570451147,0
14.9705225271263,26.2635346749622,0
11.9433450861262,20.6868339586474,0
19.990719662831,29.695313304444,0
9.36396061872871,22.4259125653437,0
14.2911957591202,23.1420786617468,0
12.8102783864859,19.9469129298702,1
13.6473138103723,22.3626074070566,0
21.8135214849531,39.6312256770299,1
11.6661355406296,21.5581809681672,1
17.3424682488008,29.3210875794838,1
